signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
4;(2, 2, 2, 2);(2, 2, 1, 1);(1, 2, 1, 2);(3, 2);(0, 2);41;180;180;41/180;((0, 1, 1, 2, 3, 3, 0, 2), (1, 0, 1, 2, 3, 3, 0, 2))
4;(2, 2, 2, 2);(2, 2, 2);(2, 2, 1, 1);(3, 3);(2, 3);22;90;180;11/90;((0, 0, 2, 1, 1, 3, 2, 3), (0, 0, 1, 2, 1, 3, 2, 3))
4;(3, 1, 1, 1);(2, 1, 1, 1);(3, 1, 1);(0,);(3,);7;60;20;7/20;((0, 0, 1, 2, 0, 3), (0, 0, 2, 1, 0, 3))
4;(3, 1, 1, 1);(3, 0, 1, 1);(2, 1, 1, 1);(1,);(0,);6;20;60;1/10;((0, 0, 2, 3, 1, 0), (0, 0, 3, 2, 1, 0))
4;(3, 1, 1, 1);(3, 1, 0, 1);(3, 0, 1, 1);(2,);(1,);3;20;20;3/20;((0, 0, 3, 0, 2, 1), (0, 0, 0, 3, 2, 1))
4;(3, 1, 1, 1);(3, 1, 1);(3, 1, 0, 1);(3,);(2,);3;20;20;3/20;((0, 0, 0, 1, 3, 2), (0, 0, 1, 0, 3, 2))
4;(3, 1, 2, 2);(2, 1, 2, 2);(3, 1, 2, 1);(0,);(3,);178;630;420;89/210;((0, 0, 1, 2, 2, 3, 0, 3), (0, 1, 0, 2, 2, 3, 0, 3))
4;(3, 1, 2, 2);(3, 1, 1, 2);(2, 1, 2, 2);(2,);(0,);178;420;630;89/315;((0, 0, 1, 2, 3, 3, 2, 0), (0, 0, 1, 3, 2, 3, 2, 0))
4;(3, 1, 2, 2);(3, 1, 2, 1);(3, 1, 1, 2);(3,);(2,);97;420;420;97/420;((0, 0, 0, 1, 3, 2, 3, 2), (0, 0, 0, 1, 2, 3, 3, 2))
4;(3, 2, 1, 1);(2, 2, 1, 1);(3, 2, 1);(0,);(3,);25;180;60;5/12;((0, 0, 2, 1, 1, 0, 3), (0, 0, 1, 2, 1, 0, 3))
4;(3, 2, 1, 1);(3, 1, 1, 1);(2, 2, 1, 1);(1,);(0,);57;120;180;19/60;((0, 0, 1, 2, 3, 1, 0), (0, 0, 2, 1, 3, 1, 0))
4;(3, 2, 1, 1);(3, 2, 0, 1);(3, 1, 1, 1);(2,);(1,);15;60;120;1/8;((0, 0, 0, 3, 1, 2, 1), (0, 0, 0, 1, 3, 2, 1))
4;(3, 2, 1, 1);(3, 2, 1);(3, 2, 0, 1);(3,);(2,);7;60;60;7/60;((0, 0, 1, 0, 1, 3, 2), (0, 0, 0, 1, 1, 3, 2))
